---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                        aten::div         0.26%      34.696ms         0.26%      34.696ms      27.757us      90.790ms         0.66%      90.790ms      72.632us           0 b           0 b     538.33 Mb     538.33 Mb          1250
                     aten::detach         0.16%      21.253ms         0.24%      32.963ms       6.593us      15.443ms         0.11%      21.124ms       4.225us           0 b           0 b           0 b           0 b          5000
                  aten::transpose         0.21%      27.886ms         0.23%      31.724ms       8.460us      11.199ms         0.08%      16.810ms       4.483us           0 b           0 b           0 b           0 b          3750
                      aten::empty         0.23%      31.604ms         0.23%      31.604ms       2.809us      17.487ms         0.13%      17.487ms       1.554us     153.38 Kb     153.38 Kb      42.11 Mb      42.11 Mb         11250
                       aten::rand         0.12%      16.647ms         0.18%      24.946ms      19.957us       5.561ms         0.04%       9.314ms       7.451us     156.25 Kb       2.88 Kb           0 b           0 b          1250
                  aten::unsqueeze         0.16%      21.689ms         0.18%      24.058ms       9.623us       7.488ms         0.05%      11.193ms       4.477us           0 b           0 b           0 b           0 b          2500
                     aten::expand         0.17%      23.299ms         0.17%      23.637ms       6.303us      11.321ms         0.08%      16.893ms       4.505us           0 b           0 b           0 b           0 b          3750
        aten::adaptive_max_pool2d         0.15%      20.875ms         0.15%      20.875ms      16.700us      15.667ms         0.11%      15.667ms      12.534us           0 b           0 b     468.75 Mb     468.75 Mb          1250
                 aten::as_strided         0.14%      19.310ms         0.14%      19.310ms       0.702us      37.554ms         0.27%      37.554ms       1.366us           0 b           0 b           0 b           0 b         27500
                        aten::cos         0.12%      16.071ms         0.12%      16.071ms      12.857us      16.547ms         0.12%      16.547ms      13.238us           0 b           0 b       9.77 Mb       9.77 Mb          1250
              aten::empty_strided         0.11%      15.561ms         0.11%      15.561ms       4.150us       5.627ms         0.04%       5.627ms       1.501us     534.45 Mb     534.45 Mb     538.94 Mb     538.94 Mb          3750
                           detach         0.09%      11.710ms         0.09%      11.710ms       2.342us       5.681ms         0.04%       5.681ms       1.136us           0 b           0 b           0 b           0 b          5000
                    aten::resize_         0.08%      11.518ms         0.08%      11.518ms       2.304us       7.489ms         0.05%       7.489ms       1.498us           0 b           0 b      41.09 Mb      41.09 Mb          5000
                    aten::detach_         0.05%       6.388ms         0.06%       7.732ms       6.186us       3.760ms         0.03%       5.632ms       4.506us           0 b           0 b           0 b           0 b          1250
                   aten::uniform_         0.04%       5.574ms         0.04%       5.574ms       4.459us       1.904ms         0.01%       1.904ms       1.523us           0 b           0 b           0 b           0 b          1250
                          detach_         0.01%       1.344ms         0.01%       1.344ms       1.075us       1.872ms         0.01%       1.872ms       1.498us           0 b           0 b           0 b           0 b          1250
                 aten::lift_fresh         0.00%     593.000us         0.00%     593.000us       0.095us       7.549ms         0.06%       7.549ms       1.208us           0 b           0 b           0 b           0 b          6250
               aten::resolve_conj         0.00%     181.000us         0.00%     181.000us       0.036us       5.640ms         0.04%       5.640ms       1.128us           0 b           0 b           0 b           0 b          5000
                aten::resolve_neg         0.00%       1.000us         0.00%       1.000us       0.000us       5.616ms         0.04%       5.616ms       1.123us           0 b           0 b           0 b           0 b          5000
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 13.590s
Self CUDA time total: 13.676s
Traceback (most recent call last):
  File "C:\Users\TYLER\Documents\GitHub\BeyondTheRainbow\main.py", line 138, in <module>
    raise Exception("stop")
Exception: stop
