---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                     aten::argmax         0.26%      35.254ms         0.27%      36.029ms      28.823us      12.876ms         0.09%      14.740ms      11.792us           0 b           0 b     625.00 Kb     625.00 Kb          1250
                        aten::div         0.26%      35.774ms         0.26%      35.774ms      28.619us      93.139ms         0.68%      93.139ms      74.511us           0 b           0 b     538.33 Mb     538.33 Mb          1250
                      aten::empty         0.24%      32.347ms         0.24%      32.347ms       2.875us      17.417ms         0.13%      17.417ms       1.548us     153.38 Kb     153.38 Kb      42.11 Mb      42.11 Mb         11250
                  aten::transpose         0.19%      25.076ms         0.22%      29.086ms       7.756us      11.296ms         0.08%      16.848ms       4.493us           0 b           0 b           0 b           0 b          3750
                       aten::rand         0.13%      17.757ms         0.19%      26.228ms      20.982us       5.533ms         0.04%       9.272ms       7.418us     156.25 Kb       2.88 Kb           0 b           0 b          1250
                  aten::unsqueeze         0.17%      22.742ms         0.18%      24.913ms       9.965us       7.469ms         0.05%      11.182ms       4.473us           0 b           0 b           0 b           0 b          2500
                     aten::expand         0.17%      23.398ms         0.18%      23.692ms       6.318us      11.325ms         0.08%      16.897ms       4.506us           0 b           0 b           0 b           0 b          3750
        aten::adaptive_max_pool2d         0.14%      19.507ms         0.14%      19.507ms      15.606us      15.026ms         0.11%      15.026ms      12.021us           0 b           0 b     468.75 Mb     468.75 Mb          1250
                 aten::as_strided         0.12%      16.754ms         0.12%      16.754ms       0.609us      37.368ms         0.27%      37.368ms       1.359us           0 b           0 b           0 b           0 b         27500
              aten::empty_strided         0.11%      15.263ms         0.11%      15.263ms       4.070us       5.574ms         0.04%       5.574ms       1.486us     530.58 Mb     530.58 Mb     538.94 Mb     538.94 Mb          3750
                        aten::cos         0.11%      14.934ms         0.11%      14.934ms      11.947us      13.364ms         0.10%      13.364ms      10.691us           0 b           0 b       9.77 Mb       9.77 Mb          1250
                    aten::resize_         0.09%      11.731ms         0.09%      11.731ms       2.346us       7.578ms         0.06%       7.578ms       1.516us           0 b           0 b      41.19 Mb      41.19 Mb          5000
                           detach         0.08%      11.222ms         0.08%      11.222ms       2.244us       5.708ms         0.04%       5.708ms       1.142us           0 b           0 b           0 b           0 b          5000
                    aten::detach_         0.04%       5.957ms         0.05%       7.262ms       5.810us       3.785ms         0.03%       5.632ms       4.506us           0 b           0 b           0 b           0 b          1250
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 13.509s
Self CUDA time total: 13.600s
Traceback (most recent call last):
  File "C:\Users\TYLER\Documents\GitHub\BeyondTheRainbow\main.py", line 138, in <module>
    raise Exception("stop")
Exception: stop
